000703d7,0,0,4,5,5,6,5,5,4,4,4,5,5,4,4,8,12,13,13,16,15,12,0,0,0,0,0,0,0,0,0,0,0,0,4,7,8,10,9,8,9,12,13,12,12,13,12,10,7,3,0,0,0,0,0,0
000d18c1,0,0,0,0,0,0,0,11,14,16,8,5,5,6,12,14,17,16,13,9,6,0,0,0,0,0,0,0,0,0,0,4,5,5,5,7,7,8,8,7,7,6,6,7,8,9,11,12,12,10,8,0,0,0,0,0
00148e82,0,0,4,4,4,5,6,6,6,5,9,12,11,14,12,11,13,14,12,14,12,12,0,0,0,0,0,0,0,0,0,0,0,0,5,9,11,12,10,10,9,13,13,16,16,15,12,8,9,8,8,2,0,0,0,0
001d4baa,0,0,3,3,3,3,3,3,3,3,3,3,5,15,17,15,11,11,7,11,13,9,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15,18,13,8,9,8,8,7,5,5,6,5,6,6,8,6,4,0,0,0
001da193,0,0,0,0,0,5,12,14,15,7,3,11,15,16,17,12,9,5,7,6,8,14,13,9,6,0,0,0,0,0,0,0,0,6,10,10,9,8,8,13,12,13,11,12,13,13,14,12,10,9,9,7,5,0,0,0
001fdcb9,0,0,0,0,11,14,14,14,14,9,6,7,8,8,9,8,8,16,19,19,19,19,18,10,0,0,0,0,0,0,0,0,0,0,5,11,13,15,15,16,17,18,19,20,19,17,17,14,6,6,6,6,6,4,0,0
00208431,0,0,0,0,0,4,9,13,12,9,10,8,8,7,6,7,7,10,10,13,14,11,7,0,0,0,0,0,0,0,0,0,0,9,11,13,11,8,8,8,7,7,7,4,4,4,7,6,9,14,12,11,5,0,0,0
002498a0,0,0,0,5,8,9,10,9,4,5,4,5,4,5,7,8,11,16,19,17,13,5,4,0,0,0,0,0,0,0,0,0,0,0,5,6,7,8,7,9,9,11,14,17,17,15,12,10,7,3,3,3,3,2,0,0
00265305,0,0,0,0,0,0,7,8,9,8,9,10,8,10,12,12,12,9,4,4,5,5,5,4,4,4,0,0,0,0,0,0,0,0,0,7,12,12,12,8,3,10,13,16,18,17,12,6,3,0,0,0,0,0,0,0
00306b93,0,0,4,5,5,4,3,5,5,4,4,11,13,16,11,9,7,8,11,16,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,17,19,17,11,10,7,6,6,6,5,6,5,6,6,6,6,4,1,0
003492d5,0,0,0,0,5,6,8,10,10,8,8,8,8,8,6,7,6,7,8,9,10,12,11,7,0,0,0,0,0,0,0,0,0,0,0,5,12,14,14,14,10,8,7,9,9,8,11,12,13,9,7,0,0,0,0,0
004160cd,0,0,0,0,0,3,4,5,5,5,5,4,5,4,5,4,5,4,3,4,5,4,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,5,6,8,8,9,8,8,8,7,6,5,4,0,0,0,0,0,0,0
00449a09,0,0,0,0,8,12,13,13,8,6,6,7,6,6,5,6,6,7,8,8,9,14,12,9,0,0,0,0,0,0,0,0,0,0,5,12,17,13,10,8,7,7,7,7,7,8,9,9,17,14,12,0,0,0,0,0
00482f02,0,0,0,0,0,0,2,11,14,13,5,4,8,10,10,6,4,6,7,8,11,10,7,2,0,0,0,0,0,0,0,0,0,0,4,6,8,8,10,8,10,11,10,12,12,10,6,4,4,3,3,3,3,3,0,0
0054674a,0,0,0,0,0,0,0,9,10,9,8,10,12,12,14,9,5,3,3,2,3,3,3,3,3,3,3,0,0,0,0,0,0,3,5,7,6,5,6,7,6,6,6,13,17,20,12,8,0,0,0,0,0,0,0,0
005fd671,0,0,0,0,0,0,0,7,9,8,6,4,4,10,10,8,3,3,3,3,4,3,3,3,3,4,3,0,0,0,0,0,0,0,0,0,0,4,7,11,12,12,12,11,10,7,5,2,2,3,3,0,0,0,0,0
00601459,0,0,0,0,0,4,5,3,3,2,3,3,6,6,5,14,14,13,3,3,3,2,3,3,3,0,0,0,0,0,0,0,0,0,2,2,11,13,11,3,3,3,3,3,3,3,6,6,9,10,7,3,0,0,0,0
00632856,0,0,0,0,0,2,9,12,16,17,11,11,9,9,8,7,7,7,8,9,16,14,13,8,0,0,0,0,0,0,0,0,0,6,9,11,12,14,11,11,8,7,8,8,9,9,7,8,9,11,14,13,8,0,0,0
0065b69a,0,0,0,0,0,0,0,8,13,14,15,13,11,11,9,5,4,5,5,6,5,5,5,6,5,5,4,0,0,0,0,0,0,3,6,7,7,7,7,9,9,12,15,19,16,15,13,8,1,0,0,0,0,0,0,0
006b075c,0,0,0,0,5,5,7,6,3,3,3,10,13,14,8,3,3,3,3,2,6,9,12,10,0,0,0,0,0,0,0,0,0,0,0,7,11,13,8,8,7,8,8,7,7,8,8,7,10,8,3,0,0,0,0,0
