000703d7,45.73046875,0.0583296795281,98,0.125,70.91796875,0.0904565927934,120,0.15306122449,24791,31.6211734694,149,0.190051020408,21,2,21,6,1.26666666667
000d18c1,41.2265625,0.052584901148,94,0.119897959184,72.1484375,0.0920260682398,117,0.149234693878,23844,30.4132653061,152,0.19387755102,20,7,22,3,0.684210526316
00148e82,69.24609375,0.0883240991709,123,0.156887755102,74.87890625,0.0955088089923,127,0.161989795918,31501,40.1798469388,186,0.237244897959,21,2,23,6,1.11764705882
001d4baa,65.54296875,0.0836007254464,114,0.145408163265,63.87890625,0.0814781967474,115,0.146683673469,22745,29.0114795918,144,0.183673469388,21,2,24,7,1.11764705882
001da193,67.4375,0.0860172193878,134,0.170918367347,86.3203125,0.110102439413,151,0.192602040816,34160,43.5714285714,204,0.260204081633,24,5,24,5,1.0
001fdcb9,69.72265625,0.0889319595026,115,0.146683673469,70.82421875,0.0903370137117,120,0.15306122449,51513,65.7053571429,250,0.31887755102,23,4,25,6,1.0
00208431,47.6953125,0.0608358577806,104,0.132653061224,47.046875,0.0600087691327,100,0.127551020408,26264,33.5,165,0.210459183673,22,5,24,5,0.894736842105
002498a0,65.71875,0.0838249362245,118,0.150510204082,89.6953125,0.114407286352,137,0.174744897959,29344,37.4285714286,168,0.214285714286,22,3,25,6,1.0
00265305,43.78515625,0.0558484135842,90,0.114795918367,63.26171875,0.0806909677934,97,0.123724489796,27085,34.5471938776,149,0.190051020408,25,6,20,7,1.46153846154
00306b93,77.30078125,0.0985979352679,130,0.165816326531,76.81640625,0.0979801100128,132,0.168367346939,28517,36.3737244898,164,0.209183673469,21,2,26,7,1.0
003492d5,57.08203125,0.0728087133291,108,0.137755102041,43.32421875,0.0552604830995,99,0.126275510204,27845,35.5165816327,162,0.206632653061,23,4,22,7,1.26666666667
004160cd,42.75390625,0.0545330436862,72,0.0918367346939,43.36328125,0.0553103077168,71,0.0905612244898,12969,16.5420918367,82,0.104591836735,24,5,20,9,1.72727272727
00449a09,60.16796875,0.0767448580995,111,0.141581632653,43.95703125,0.0560676419005,97,0.123724489796,29761,37.9604591837,169,0.21556122449,23,4,22,6,1.1875
00482f02,65.42578125,0.0834512515944,112,0.142857142857,67.25390625,0.0857830436862,113,0.144132653061,21175,27.0089285714,138,0.176020408163,23,6,25,6,0.894736842105
0054674a,51.7578125,0.0660176179847,96,0.122448979592,47.3203125,0.0603575414541,96,0.122448979592,20316,25.9132653061,127,0.161989795918,26,7,19,5,1.35714285714
