000020ac,0.028,0.028,0.084,0.592,0.004,0.152,0.044,0.004,0.052,0.012
00002d40,0.0,0.064,0.776,0.068,0.0,0.0,0.024,0.036,0.032,0.0
00007903,0.008,0.024,0.012,0.032,0.02,0.064,0.792,0.012,0.032,0.004
00012697,0.008,0.004,0.028,0.028,0.436,0.084,0.06,0.064,0.172,0.116
0006259c,0.0,0.0,0.008,0.02,0.008,0.008,0.0,0.92,0.0,0.036
00090bdd,0.108,0.008,0.18,0.012,0.284,0.088,0.072,0.06,0.056,0.132
000a3c4d,0.064,0.008,0.012,0.056,0.008,0.748,0.008,0.04,0.036,0.02
000a6a68,0.0,0.0,0.012,0.008,0.084,0.012,0.008,0.08,0.028,0.768
000b46d6,0.004,0.004,0.0,0.104,0.112,0.068,0.0,0.068,0.116,0.524
000d9a97,0.004,0.008,0.004,0.04,0.444,0.048,0.024,0.016,0.084,0.328
0010a828,0.004,0.004,0.032,0.004,0.06,0.008,0.84,0.016,0.028,0.004
0012ca67,0.04,0.0,0.82,0.02,0.004,0.0,0.04,0.024,0.02,0.032
0012edc8,0.04,0.004,0.016,0.008,0.004,0.032,0.88,0.008,0.004,0.004
00146075,0.016,0.016,0.088,0.008,0.224,0.032,0.528,0.012,0.052,0.024
001518ed,0.008,0.004,0.008,0.092,0.06,0.688,0.024,0.012,0.016,0.088
0015aac8,0.868,0.004,0.016,0.008,0.0,0.04,0.016,0.024,0.008,0.016
00179996,0.004,0.132,0.052,0.044,0.02,0.036,0.032,0.024,0.628,0.028
0018703d,0.008,0.028,0.576,0.076,0.008,0.032,0.188,0.02,0.064,0.0
001a111b,0.012,0.0,0.0,0.0,0.844,0.004,0.02,0.024,0.004,0.092
001ade62,0.0,0.98,0.0,0.0,0.0,0.004,0.008,0.008,0.0,0.0
001cb1d9,0.012,0.012,0.008,0.02,0.024,0.8,0.016,0.036,0.044,0.028
001dcfcc,0.024,0.02,0.172,0.208,0.012,0.056,0.048,0.012,0.424,0.024
001f9f58,0.024,0.0,0.04,0.076,0.084,0.468,0.068,0.016,0.128,0.096
001fd0f7,0.008,0.016,0.192,0.66,0.008,0.032,0.032,0.008,0.04,0.004
00224a98,0.008,0.004,0.032,0.868,0.004,0.024,0.0,0.016,0.02,0.024
0022f8c8,0.0,0.0,0.0,0.0,0.992,0.004,0.0,0.0,0.0,0.004
0023bbc0,0.168,0.0,0.016,0.544,0.012,0.132,0.036,0.032,0.04,0.02
0023e719,0.0,0.008,0.012,0.892,0.016,0.028,0.008,0.02,0.008,0.008
0023f7fe,0.0,0.004,0.008,0.012,0.072,0.016,0.004,0.02,0.012,0.852
0024597f,0.024,0.0,0.028,0.0,0.124,0.044,0.04,0.116,0.024,0.6
002664f1,0.004,0.096,0.212,0.196,0.008,0.056,0.004,0.08,0.34,0.004
00267506,0.02,0.012,0.06,0.0,0.028,0.036,0.752,0.012,0.044,0.036
0028a913,0.0,0.0,0.016,0.008,0.8,0.02,0.032,0.016,0.024,0.084
002a8dff,0.044,0.016,0.032,0.252,0.112,0.412,0.016,0.016,0.044,0.056
002b269a,0.016,0.0,0.016,0.24,0.004,0.632,0.008,0.02,0.032,0.032
002b9368,0.12,0.004,0.008,0.084,0.024,0.484,0.064,0.008,0.136,0.068
002bdfd0,0.016,0.056,0.028,0.32,0.04,0.108,0.012,0.268,0.08,0.072
002c0588,0.004,0.116,0.056,0.028,0.036,0.036,0.008,0.04,0.636,0.04
002c808f,0.004,0.028,0.016,0.24,0.012,0.608,0.048,0.008,0.028,0.008
002d7ef8,0.012,0.02,0.016,0.044,0.032,0.06,0.048,0.044,0.644,0.08
002df216,0.048,0.012,0.176,0.048,0.304,0.044,0.176,0.004,0.132,0.056
002dfc96,0.008,0.0,0.024,0.032,0.076,0.076,0.016,0.016,0.68,0.072
