000020ac,0.016,0.052,0.1,0.58,0.016,0.16,0.032,0.008,0.032,0.004
00002d40,0.0,0.048,0.796,0.052,0.0,0.004,0.028,0.032,0.036,0.004
00007903,0.004,0.004,0.02,0.1,0.016,0.056,0.756,0.0,0.036,0.008
00012697,0.016,0.004,0.028,0.016,0.452,0.088,0.064,0.06,0.14,0.132
0006259c,0.0,0.0,0.008,0.012,0.008,0.012,0.008,0.908,0.004,0.04
00090bdd,0.092,0.016,0.188,0.02,0.292,0.088,0.076,0.028,0.084,0.116
000a3c4d,0.064,0.008,0.036,0.032,0.024,0.74,0.016,0.044,0.016,0.02
000a6a68,0.0,0.0,0.016,0.008,0.092,0.008,0.008,0.084,0.032,0.752
000b46d6,0.008,0.0,0.0,0.116,0.136,0.068,0.004,0.076,0.04,0.552
000d9a97,0.008,0.016,0.02,0.036,0.536,0.032,0.016,0.028,0.068,0.24
0010a828,0.004,0.004,0.036,0.004,0.028,0.012,0.884,0.008,0.012,0.008
0012ca67,0.028,0.004,0.788,0.044,0.004,0.0,0.036,0.052,0.028,0.016
0012edc8,0.04,0.0,0.02,0.024,0.008,0.02,0.864,0.004,0.012,0.008
00146075,0.012,0.012,0.08,0.02,0.216,0.036,0.528,0.012,0.06,0.024
001518ed,0.016,0.004,0.004,0.076,0.068,0.676,0.028,0.004,0.052,0.072
0015aac8,0.904,0.0,0.0,0.012,0.004,0.044,0.008,0.02,0.004,0.004
00179996,0.008,0.108,0.048,0.048,0.024,0.032,0.06,0.024,0.612,0.036
0018703d,0.004,0.032,0.548,0.092,0.036,0.024,0.196,0.012,0.044,0.012
001a111b,0.004,0.0,0.004,0.0,0.864,0.024,0.0,0.024,0.004,0.076
001ade62,0.0,0.996,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0
001cb1d9,0.004,0.028,0.024,0.052,0.012,0.768,0.02,0.028,0.048,0.016
001dcfcc,0.048,0.016,0.152,0.216,0.028,0.08,0.028,0.012,0.416,0.004
001f9f58,0.008,0.004,0.056,0.048,0.084,0.488,0.1,0.016,0.108,0.088
001fd0f7,0.02,0.024,0.132,0.616,0.0,0.084,0.032,0.016,0.068,0.008
00224a98,0.0,0.004,0.032,0.876,0.004,0.036,0.004,0.012,0.024,0.008
0022f8c8,0.0,0.0,0.0,0.004,0.984,0.004,0.0,0.0,0.0,0.008
0023bbc0,0.152,0.004,0.048,0.524,0.016,0.144,0.02,0.036,0.028,0.028
0023e719,0.008,0.004,0.016,0.9,0.004,0.032,0.0,0.004,0.012,0.02
0023f7fe,0.0,0.004,0.0,0.008,0.044,0.012,0.0,0.032,0.04,0.86
0024597f,0.016,0.004,0.028,0.004,0.108,0.048,0.02,0.128,0.016,0.628
002664f1,0.004,0.132,0.244,0.188,0.0,0.048,0.012,0.076,0.284,0.012
00267506,0.012,0.016,0.028,0.024,0.048,0.056,0.756,0.016,0.028,0.016
0028a913,0.0,0.0,0.012,0.024,0.812,0.024,0.032,0.008,0.02,0.068
002a8dff,0.052,0.016,0.016,0.3,0.128,0.372,0.036,0.02,0.04,0.02
002b269a,0.016,0.0,0.008,0.26,0.004,0.648,0.004,0.004,0.028,0.028
002b9368,0.136,0.004,0.016,0.148,0.016,0.456,0.072,0.004,0.072,0.076
002bdfd0,0.008,0.052,0.016,0.32,0.032,0.18,0.008,0.244,0.06,0.08
002c0588,0.012,0.116,0.024,0.036,0.012,0.044,0.016,0.012,0.7,0.028
002c808f,0.008,0.016,0.016,0.16,0.0,0.664,0.072,0.028,0.016,0.02
002d7ef8,0.016,0.048,0.052,0.064,0.06,0.052,0.008,0.044,0.58,0.076
002df216,0.028,0.012,0.184,0.044,0.284,0.06,0.204,0.016,0.108,0.06
002dfc96,0.0,0.012,0.016,0.056,0.12,0.06,0.02,0.012,0.612,0.092
0030c286,0.012,0.0,0.06,0.02,0.548,0.024,0.112,0.068,0.036,0.12
00316648,0.004,0.004,0.86,0.052,0.012,0.012,0.004,0.02,0.024,0.008
00318263,0.004,0.0,0.012,0.02,0.0,0.0,0.0,0.952,0.0,0.012
00320023,0.0,0.0,0.0,0.972,0.0,0.012,0.0,0.0,0.016,0.0
003347b0,0.008,0.0,0.008,0.004,0.1,0.016,0.012,0.056,0.008,0.788
00357b49,0.0,0.92,0.016,0.02,0.0,0.008,0.004,0.012,0.008,0.012
003849c4,0.008,0.0,0.944,0.012,0.004,0.004,0.016,0.012,0.0,0.0
0038ec14,0.016,0.004,0.724,0.084,0.04,0.012,0.024,0.036,0.036,0.024
003adead,0.0,0.0,0.044,0.016,0.012,0.016,0.0,0.012,0.884,0.016
003c3962,0.016,0.0,0.004,0.008,0.7,0.02,0.016,0.032,0.04,0.164
003d5a12,0.084,0.008,0.096,0.04,0.208,0.256,0.172,0.04,0.036,0.06
003deb09,0.004,0.004,0.04,0.584,0.004,0.076,0.008,0.024,0.236,0.02
003e9164,0.0,0.0,0.944,0.008,0.0,0.0,0.016,0.008,0.02,0.004
003ea6b5,0.0,0.012,0.008,0.044,0.148,0.044,0.004,0.076,0.016,0.648
003eae3c,0.0,0.0,0.008,0.008,0.824,0.024,0.008,0.016,0.028,0.084
0040d874,0.02,0.064,0.1,0.4,0.036,0.148,0.04,0.028,0.112,0.052
0043454d,0.032,0.008,0.016,0.028,0.06,0.74,0.02,0.044,0.008,0.044
0043dccb,0.004,0.012,0.004,0.012,0.58,0.048,0.036,0.028,0.032,0.244
00448f5f,0.004,0.1,0.064,0.028,0.152,0.104,0.064,0.172,0.252,0.06
004696d4,0.008,0.032,0.124,0.268,0.012,0.032,0.02,0.0,0.468,0.036
0047cb1c,0.008,0.004,0.012,0.0,0.016,0.016,0.0,0.868,0.02,0.056
0048fe27,0.016,0.028,0.096,0.332,0.028,0.232,0.18,0.004,0.056,0.028
004aa934,0.08,0.004,0.032,0.032,0.02,0.036,0.008,0.752,0.0,0.036
004c3f84,0.036,0.024,0.148,0.072,0.052,0.116,0.028,0.08,0.384,0.06
004c4ddf,0.0,0.0,0.004,0.0,0.0,0.008,0.004,0.972,0.004,0.008
004d7322,0.0,0.02,0.04,0.892,0.004,0.012,0.004,0.008,0.02,0.0
004d8314,0.008,0.004,0.656,0.22,0.004,0.028,0.032,0.02,0.0,0.028
004e78bf,0.0,0.0,0.008,0.008,0.02,0.0,0.0,0.04,0.004,0.92
00509f3c,0.908,0.0,0.004,0.004,0.0,0.044,0.016,0.016,0.008,0.0
